Device Type,GENEActiv,,,,,
Device Model,1.2,,,,,
Device Unique Serial Code,111806,,,,,
Device Firmware Version,Ver06.17 15June23,,,,,
Calibration Date,2025-03-17 06:31:29:000,,,,,
Application name & version,GeneaLibrary,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Measurement Frequency,100 Hz,,,,,
Start Time,2026-07-30 12:07:00:000,,,,,
Last measurement,,,,,,
Device Location Code,,,,,,
Time Zone,GMT -04:00,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Subject Code,,,,,,
Date of Birth,1900-01-01,,,,,
Sex,,,,,,
Height,,,,,,
Weight,,,,,,
Handedness Code,,,,,,
Subject Notes,,,,,,
,,,,,,
,,,,,,
,,,,,,
Study Centre,,,,,,
Study Code,,,,,,
Investigator ID,,,,,,
Exercise Type,,,,,,
Config Operator ID,,,,,,
Config Time,2026-07-30 12:06:11:824,,,,,
Config Notes,,,,,,
Extract Operator ID,,,,,,
Extract Time,2026-07-30 12:16:07:452,,,,,
Extract Notes,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Sensor type,MEMS accelerometer x-axis,,,,,
Range,-8 to 8,,,,,
Resolution,0.0039,,,,,
Units,g,,,,,
Additional information,,,,,,
Sensor type,MEMS accelerometer y-axis,,,,,
Range,-8 to 8,,,,,
Resolution,0.0039,,,,,
Units,g,,,,,
Additional information,,,,,,
Sensor type,MEMS accelerometer z-axis,,,,,
Range,-8 to 8,,,,,
Resolution,0.0039,,,,,
Units,g,,,,,
Additional information,,,,,,
Sensor type,Lux Photodiode 400nm - 1100nm,,,,,
Range,0 to 20000,,,,,
Resolution,3 to 48,,,,,
Units,lux,,,,,
Additional information,,,,,,
Sensor type,User button event marker,,,,,
Range,1 or 0,,,,,
Resolution,,,,,,
Units,,,,,,
Additional information,1=pressed,,,,,
Sensor type,Linear active thermistor,,,,,
Range,0 to 70,,,,,
Resolution,0.1,,,,,
Units,deg. C,,,,,
Additional information,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
2026-07-30 12:07:00:000,-0.3898,0.1355,-0.8873,368,0,28.2
2026-07-30 12:07:00:010,-0.4053,0.1393,-0.8991,364,0,28.2
2026-07-30 12:07:00:020,-0.4169,0.1355,-0.8873,364,0,28.2
2026-07-30 12:07:00:030,-0.4092,0.1317,-0.9031,364,0,28.2
2026-07-30 12:07:00:040,-0.4092,0.124,-0.907,356,0,28.2
2026-07-30 12:07:00:050,-0.4169,0.1393,-0.907,356,0,28.2
2026-07-30 12:07:00:060,-0.3976,0.1508,-0.8991,352,0,28.2
2026-07-30 12:07:00:070,-0.4014,0.1508,-0.8991,352,0,28.2
2026-07-30 12:07:00:080,-0.3937,0.1431,-0.8991,352,0,28.2
2026-07-30 12:07:00:090,-0.4131,0.1431,-0.8912,356,0,28.2
2026-07-30 12:07:00:100,-0.4014,0.1317,-0.8952,356,0,28.2
2026-07-30 12:07:00:110,-0.4014,0.1355,-0.8912,356,0,28.2
2026-07-30 12:07:00:120,-0.4285,0.1546,-0.8675,364,0,28.2
2026-07-30 12:07:00:130,-0.4014,0.1202,-0.8873,364,0,28.2
2026-07-30 12:07:00:140,-0.3821,0.1355,-0.8991,364,0,28.2
2026-07-30 12:07:00:150,-0.4092,0.1355,-0.8991,364,0,28.2
2026-07-30 12:07:00:160,-0.3898,0.1355,-0.907,364,0,28.2
